Title,Rating,ReviewText
The Gray Man,2.5,"Two hours hard to finish. Ryan Gosling could be named as the new Cooler King, even in a bad movie. Chris Evans played a better sociopath in The Iceman."
The Gray Man,0.5,"Awful. So freakin awful! No character development. No background. No plot development.  Just, awful."
The Gray Man,2.5,Very boring for a spy film. Had high hopes for this film and did not live up at all.
The Gray Man,3,"What let this movie down was the casting of the Freddie Mercury character as the baddie. Every time he cam on screen I was expecting a rendition of 'We are the champions"""
The Gray Man,3,"This film is indeed quite stunning with strong and more realistic action, of course in accordance with the high cost of making it, but I think this film still has many shortcomings in terms of the plot aspect which is still relatively trivial, at the beginning of the screening it tends to be slow and boring and the conclusion which to me is quite disappointing should be more than just mediocre."
The Gray Man,4,Movie Rating: 8.5/10
The Gray Man,4,"Don't listen to the critics on this. Its a popcorn action movie that's surprisingly also well acted, especially Chris Evans in a hilarious evil role. No one is going to win award for this, it's just a fun watch with very good action scenes and scenery."
The Gray Man,1,"From the very beginning this movie is in explainer mode. If you like having everything explained to you while people kill each other, be my guest."
The Gray Man,5,Absolutely fantastic!
The Gray Man,5,"I loved this movie, but I noticed the critic review's are very low. The fight choreography was really innovative and well arranged. And all of the actors were great. Of course, Ryan Gosling going full John Wick on a bunch of bad guys is just great fun to watch. Critics must have lost their sense of enjoyment. Because I watch movies to be entertained. And this movie was highly entertaining. Critics got it wrong again. Maybe we don't need movie critics? LoL."
Everything Everywhere All at Once,5,Finally an original movie!  I though they didn't exist anymore.  This movie was fantastic.  So much fun and visually stunning.  This movie is super quirky but anyone would enjoy if they give it a chance.
Everything Everywhere All at Once,5,"A fost un film foarte bun, începutul a fost mai ciudat, dar la final totul a fost perfect construit"
Everything Everywhere All at Once,5,"I can't think of a movie that I've seen that I would recommend more- though always with a warning that it's best for fans of the weird and irreverent. I've never felt as much sameness with a character in media as I did with Waymond. ""This is how I fight."" I both laughed until my face hurt and cried real tears multiple times. This movie changed my perspective on life."
Everything Everywhere All at Once,0.5,"I really wanted to like this movie but I hated it. It felt messy, confused and like it was trying hard to be funny but failing. The wife wasn't likeable and the husband, who was likeable, was underused. I'm sure lots of people will like this film but it's definitely not for me."
X,5,"Visceral and eye-catching. I wanted to look away but kept getting dragged back in. As I have heard it before, ""texas chainsaw meets boogie-nights"" and it works."
X,3,"Love Ti West's first two horror features, House of the Devil and The Innkeepers. After that his stuff got very mediocre. A few years back he did his first non-horror outing, the western In a Valley of Violence, which was actually interesting and well made."
X,2.5,"Very pointless, felt like a lot of wasted potential in the name of randomness."
X,3,"""A black sheriff?"""
Us,3.5,"Can't really put my finger on why this film didn't do much for me, but it just didn't.  Overall I'd say it was good thanks to Peele's direction and there was definitely entertainment value there with the premise that was initially engaging.  The twist at the end unfortunately came at a point where I already felt apathetic towards the film for a good amount prior.  I might revisit this in the future, but I'm not in a hurry too.  Jordan Peele is a very interesting director regardless and I'll be looking forward to his future projects."
Us,4,"I had a really good time with the movie, tension high and maintained with some amazing visuals. I wasn't ever really super scared but the emotions and connections made while watching were superb."
Us,5,"Is Jordan peele, it can't be bad"
Us,5,If you don't like this film: you're not intelligent enough to understand it
Us,2.5,The plot didn't make much sense and it wasn't scary… but it did pass the time.
Us,2,"Very underwhelming. I was told it was really good, but when I watched it it was just good enough to pass the time."
Us,3.5,"It has it's flaws, but as I see it, this is an underrated horror film."
Get Out,4.5,"Easily Jordan Peele's best film to date.  The unsettling tone and atmosphere is well maintained throughout the picture from when Chris arrives at his girlfriend's family's home all the way to the very end.  The premise, performances, soundtrack, and 'twist' regarding what the Armitage family has been doing kept me hooked.  Never once did I lose interest or feel bored."
Get Out,5,In the mouth it was lovely
Get Out,4,"I find it interesting how this is regarded as the best Peele Horror movie and Nope typically considered the least, but in my opinion I think its reversed. I saw this movie after Nope, and the take-aways really come down to well, what you want to take away. In terms of a plot and story in which you can relate to, get out is extremely on point in every moment. But I feel like the scares are just less than his other movies. The dread is all present though."
Get Out,4.5,"It's a bit weird (I love weird movies btw) and the science they try to use is not well thought out, but it is a good movie.  I really enjoyed it on the first watch, I am not so sure I'll like it the second time since it is a good suspense and twist movie; I liked it enough to find out though and will be watching it again soon."
Get Out,5,Jordan Peele's best movie and a must watch
Get Out,5,Pay attention. Every detail is just perfect. So well put together
Get Out,4.5,Certainly Jordan Peele's first and greatest film yet. A much more straight forward and relatable plot to the real world compared to his other films.
Get Out,5,Loved this movie. So interesting!
Get Out,4.5,Written and directed by the amazing Jordan Peele!! So surprising!!
Get Out,5,Beautiful movie. Such a unique plot and such amazing characters and acting was completely outstanding. 10/10 horror film would 100% recommend
The Northman,0.5,"Considering the cast, subject material and reviews, I expected to enjoy this movie. But mostly I was bored. The pacing was atrocious. Most scenes were drawn out way too much. A boy stares out from a wall forever. Did we really need to watch the king ride all the way through the town? I understand the need to set a scene and introduce characters, but it doesn't take that long. It reminded me of those movies and shows where characters spend a long time doing mundane tasks like brushing their teeth. Pointless and boring. Then I looked up the director and understood why I disliked this movie. I don't care for his work. It's really sad because there have been so few movies I've looked forward to in recent years. That makes this one doubly disappointing."
The Northman,0.5,One of the worst movies I have ever watched!  I was expecting big things on the back of Vikings.
The Northman,1.5,This was truly awful. The film did a good job of showing Norse mythology and culture but it was too dark and way too many posed shots and looks and pretty much zero plot. The revenge was even sad and pathetic. Not surprisingly this film was an epic box office failure and that cannot be blamed on people not going to the theater. Nobody wanted to go to this movie.
The Northman,4,"Epic. With stellar performances and an interesting quest, this film will have you until the end. Possibly one of this year's best films. I'm not too familiar with Viking films, but I'm glad this one exists."
The Northman,1,"After watching the 1st two seasons of The Last Kingdom which I feel is the gold standard, the Northman falls well below par."
The Northman,3.5,"Well, this is complaining on an incredibly high level because it's definitely a little bit of a letdown for me after Eggers' incredible first two. It's (almost) as immersive as his previous movies, it's incredibly well made but it also has some distinct flaws. For a start, I hate the vaguely ""nordic"" accents the actors do, took me out of the moive a little from the beginning. I know this is a common trope in Hollywood movies but a filmmaker like Eggers should be better than this. Either go all in and do it all in ""Nordic"" with subs or let the actors speak normal english. It's silly and I always hate this ""english with accent"" nonsense. Apart from this minor thing, the movie is a bit hollow, i. e. it's basically all surface. Again, it's incrdibly well made but here's nothing in here that reflects upon the nature of revenge or the toxic masculinity on display here."
The Northman,2.5,Breathtaking visuals don't compensate for an ultimately boring tale with stunted dialogue and overuse of dream and vision sequences in place of the action you might reasonably expect. Disappointed that this is far from the epic saga foretold with actors that could do far more with it.
The Northman,1,"After reading the reviews on here, my love for anything vikings related and the beautiful Skarsgard, and not to mention the great cast, I decided to give this movie a try. After twenty to thirty minutes of watching I realized how terrible the movie was going to be. By the end I was just in absolute disbelief. While the sets and graphics were a admittedly fantastic - thus the reason for one start instead of half of a star - there should be other things involved in a good movie: a decent plot is the first thing that comes to mind. "
The Northman,5,"Brilliant movie, that depicts the plundering vikings as brutal and vicious, as they were without compromise, while at the same time subtly teaching audiences about the saga, that inspired the play Hamlet and giving a glimpse into their mythologie and culture, as good as it is possible in a movie."
The Northman,5,"If you have a taste for bloody violence and a stomach for brutality, you owe it to yourself to check this movie out. It's the original ""Hamlet"" story without the moral equivocating, showing both masculinity and femininity at their respective execrable worst and their glorious best."
The Batman,1.5,"Are we just going to ignore that the script was so bad at times that at times I thought it was a parody? I DO like that the Batman character is the moody, serious, tortured type. So he doesn't have to be Thor. BUT the script can't treat the audience like we're six years old. Details and plot pints that should be left for the reader to unravel / put the puzzle pieces together are simply stated by the characters.  Instead of me saying to myself ""ohhhh! That character is going to help someone else, because of X""… a character simply says ""you are going to help me, because of x"".  There is a cipher used repeatedly, yet the audience (and the characters, apparently) have to do no actual work to solve it. It just gets solved instantly!"
The Batman,3,"I did not expect much and I certainly did not get it. Not a Christopher Nolan masterpiece or a Tim Burton romp. Not sure why this was made. With a star (Robert Pattinson) who clearly had no energy due to Covid the co stars, especially Zoe Kravitz and Andy Serkis,helped to lift the film. It had a nice film noir feel to it and the characters had their one-liners. I am glad I saw it at home."
The Batman,4.5,One of the best takes on the caped crusader yet. Very long but worth every second. And every performance is phenomenal; Paul Dano's take on the riddler is breathtaking every scene and Robert Pattinson's extra glum Batman may be the best interpretation of the dark knight yet.
The Batman,0.5,"This movie was the greatest insult to Batman since Bat-nipples. There was a scene in this movie where Batman chases penguin down a highway, creates a fifteen car pileup that explodes and probably kills at least a dozen people, just so that Penguin can give Batman a Spanish lesson."
The Batman,5,10/10 a near-perfect film
The Batman,5,People do know that this is the first year's of batman when he was beginning the process of the night crusader. If you don't fuck off because your you don't know anything about Batman lore.
The Batman,0.5,"Man I'm sick of the BatMisery that we have here and had with Nolan. 89 Bats is far better then anything we've had since. DC movies are so busy trying to be edgy and dark that that loose any trace of what comic book movies need, fun! Humour! Escapism!!"
The Batman,5,Pattinson is the best batman on film
The Batman,5,I have no words. So pleasing to watch
The Batman,5,"I have never seen such a great batman movie in all of my life. When the dark knight came out, I thought that there couldn't be anything better. I was wrong. Matt Reeves created a much darker and more realistic Gotham than really any other version of Gotham. He also explored new area for characters such as the Riddler. Robert Pattinson may have disgraced himself in the twilight movies, but he totally redeemed himself."
Leave No Trace,4,"A sweet movie about a father and daughter, love and acceptance."
Leave No Trace,1.5,"Boring movie, not and interesting subject"
Leave No Trace,5,Excellent movie! Foster and McKenzie are brilliant! This movie should have won every award available.
Leave No Trace,5,"Slow and quiet, beautiful and sad."
Leave No Trace,3.5,Worth a watch. Has convincing performances by the lead actors.
Leave No Trace,5,"tense great movie, will keep you on your toes! very very good acting."
Leave No Trace,5,"Ben Foster and Thom make an amazingly emotional movie with very little dialogue. No bad guys, just people trying to make it in a tough world."
Leave No Trace,4,"Sad, yet beautiful.       "
Last Night in Soho,4.5,"The visuals were stunning, the characters were interesting and the way it ended made my socks drop right off. I thought I'd called the twist, but then the twist was better than I expected. And the final scene at the end was a breath of fresh air."
Last Night in Soho,3,"This movie is a near miss for me. It is by no means bad, I just had higher hopes. I love the 60s aesthetic, the fashion, the music, the hairstyles. So when I saw this previewed I was all in.  I stopped watching on HBO about halfway in.  Something about it wasn't clicking with me. Too slow maybe? I came back a couple of days later and finished it. I thought it was going to be too predictable but I was certainly wrong there. I won't give any spoilers but I didn't see the end coming. No, that wasn't my problem.  It was the repetition of the heroine's response to her problem. The mindlessly fleeing into the streets three different times. The reaction she had right at the end was also confusing. Not in a I-didn't-understand way but a why-did-the-director-do-that? way.  Again, I don't want to wave anyone off from this movie. It is not bad. But if you're looking for a sympathetic main character (who actually does come off a bit crazy) or a revisit to Soho in the 60s it's not going to happen."
Last Night in Soho,3.5,"The visuals and acting are great but the threat felt lacking. I really want to say that it's out of this world, but I feel like more fear needed to be added. It all made sense and the plot was great, just needed a little more scary in this movie."
Last Night in Soho,1,"If I understood better what type of movie it was, I wouldn't have watched.  Definitely not my genre.  But I did watch so I must rate it.  It's unbelievably bad.  Just when I thought it couldn't get more ludicrous and heavy-handed, something even more idiotic happened.  Then again.  Then again.  Clumsy.  Shallow.  2.4 out of 10."
Last Night in Soho,3,"I was disappointed in this, and I love everything else Edgar Wright has done. There was something meandering and pointless to this whole story, and the supposed twists were predictable even without there being a decent foreshadowing. If you are going to swing a big ""who dunnit"" you have to lay the groundwork that makes it obvious upon retrospect, and while the motivation is clearly there, there is such a messy ""red"" herring (get it?) to make it look like ""someone else dunnit"" that the reveal felt cheap. The audience had been lied to, and that undermines the whole point of the movie."
Last Night in Soho,5,Exceeded every expectation.
Last Night in Soho,3,"It's very beatiful and has good performances, but has a very weak story and disapointing plot"
Last Night in Soho,1,"Do not be fooled by the trailer, this movie was written by someone trippin on acid.  The story is hard to follow and the characters are forgettable all the way to the end when the movie jumps shark."
Last Night in Soho,4,Love the editing and cinematography! Kinda predicted the ending though.
Last Night in Soho,3,"Starts out strong, but then just gets weird. Once it decides it wants to be a scary movie it doesn't really succeed. Both lead actresses were great, but the story just doesn't finish strongly. when it's over tou just kind of say "" allrighty"". Don't Bother"
The Lost City,3.5,"Entertaining enough.  I like both of the lead actors and they did a good job in roles that are somewhat their 'sweet spot'.  Certainly not 'high cinema, but a nice break from serious stuff."
The Lost City,3,"While the adventure isn't as appealing and not all the humour lands, the chemistry between the two leads carries it across the finish line."
The Lost City,3,"It's pretty typical "" Indiana Jones "" . But , it was fun for me ."
The Lost City,2,"I like Sandra Bullock and she is appealing and likable in this; however, it is silly and almost unwatchable.   This is filled with sight gags and cheap laughs."
The Lost City,1.5,"I should have watched the trailer. It is too silly/comical/weird for my taste, but the trailer does give fair warning. In all fairness I should mention that I only watched 10-15 minutes."
The Lost City,4.5,A fun and hilarious film that we all enjoyed. Brad Pitts character was excellent but we wish he had lasted longer in the film. Almost didnt recognise Daniel Radcliffe as an excellent baddie. A good light hearted film and Sandra Bullock was also stunning.
The Lost City,4.5,"great!!! made me laugh, adventure and romance..."
Uncharted,5,Tom Holland is spectacular and Mark Wahlberg does not fail to impress. The action sequences are fresh not overdone and impossible. Loved this movie 🍿
Uncharted,3.5,pochoclera nada del otro mundo entretenida para disfrutar en familia
Uncharted,2,"This is not a good movie. It is watchable but... there is very little clever or interesting going on, all of the main leads were very annoying (Mark Wahlberg was the most likeable which is saying something), there were no stakes, there was casual killing that seemed to mean nothing, a murderer was beaten in a fight and in the next scene had just disappeared, things that made no sense such as an ancient hidden cavern with direct access via a stormwater drain, hidden passages with open access to nightclubs, the only twists were the random switches of allegiances, characters did really dumb things such as taking their boat directly past the location where they knew the murderer would be, etc, etc. Very annoying,"
Uncharted,4,"I liked the movie, it remind me of the videogames, I was excited by the cast, but I got sad about this ""Jo"", it could've easily been Nadine u.u"
Uncharted,3.5,"It's just another movie of adventure, I mean is really funny and for sure you will have a good time but if you are expecting something new and refreshing this is not the movie you are looking for."
Uncharted,3.5,"Honestly while this movie certainly isn't critical masterpiece, It is really fun and does a decent job capturing everything that makes the games so popular. First I think Tom Holland was a good choice to play a young (very naive) version of Nathan Drake. Mark Wahlberg played to his strengths in this role. The one that stood out to me the most was Tati Gabrielle as Jo, Im not familiar with anything she has been in other than this film so I dont know if she's really good at playing cool or if she in real is just that cool. I thought she was a fantastic villain, she was scary, seductive, vengeful, capable, ambitious, jealous like I could see her being the next Bond Villain she was just so cool. Didnt really like Sophia Ali's version of Chloe Frazer, the australian accent was a little harsh at times and her version of Chloe was a lot more selfish, dry and generic than I remember from the games. Games have more time to develop characters so I give this a bit of a pass.A couple of scenes in the film were just physically ridiculous, like theres is no way anybody could slap into a giant cargo container while falling out of a plane and survive, but thats how the video game is so I actually found that to be kind of funny. the movie is pretty campy and ridiculous at times but its really fun and held together by some really good"
Uncharted,5,Excellent movie. Lots of action and fun the way I like it!
Uncharted,2,"Sorry. Tom and Mark are fantastic talents, but this story, the character portrayals and overall experience feel quite pale to actually playing the video game. That sounds impossible, but the very first Uncharted game, Drakes Fortune, was like watching a great adventure film while being part of the story.  It was unforgettable, unlike this film.  This film should have been epic. Too bad."
Uncharted,3.5,A franchise of fun was born. Uncharted is a full-on action packed gold rush. Excellent special effects give this joy ride the muscle it needs. Effortless work by Mark and Tom makes the viewing experience familiar.
